
############ Experiment A — Balanced / FIFO ############
Params {
    workers: 8,
    total_tasks: 1000,
    arrival_interval_ms: 20,
    task_duration_ms: 200,
    io_probability: 0.7,
    cpu_budget: 100,
    monitor_tick_ms: 10,
    rng_seed: 42,
    policy: Fifo,
    workload: Balanced,
}
[monitor     1ms] active 0/8 | cpu 0% | queue 0 | total 1000
[monitor    12ms] active 1/8 | cpu 10% | queue 0 | total 1000
[monitor    24ms] active 2/8 | cpu 20% | queue 0 | total 1000
[monitor    35ms] active 2/8 | cpu 20% | queue 0 | total 1000
[monitor    47ms] active 3/8 | cpu 30% | queue 0 | total 1000
[monitor    59ms] active 3/8 | cpu 30% | queue 0 | total 1000
[monitor    70ms] active 4/8 | cpu 40% | queue 0 | total 1000
[monitor    84ms] active 4/8 | cpu 40% | queue 0 | total 1000
[monitor    99ms] active 5/8 | cpu 50% | queue 0 | total 1000
[monitor   116ms] active 6/8 | cpu 60% | queue 0 | total 1000
[monitor   130ms] active 7/8 | cpu 95% | queue 0 | total 1000
[monitor   143ms] active 7/8 | cpu 95% | queue 0 | total 1000
[monitor   154ms] active 7/8 | cpu 95% | queue 1 | total 1000
[monitor   165ms] active 7/8 | cpu 95% | queue 1 | total 1000
[monitor   177ms] active 7/8 | cpu 95% | queue 2 | total 1000
[monitor   188ms] active 7/8 | cpu 95% | queue 3 | total 1000
[monitor   199ms] active 7/8 | cpu 95% | queue 3 | total 1000
[monitor   210ms] active 6/8 | cpu 85% | queue 4 | total 1000
[monitor   221ms] active 6/8 | cpu 85% | queue 4 | total 1000
[monitor   259ms] active 5/8 | cpu 100% | queue 5 | total 1000
[monitor   270ms] active 5/8 | cpu 100% | queue 5 | total 1000
[monitor   282ms] active 5/8 | cpu 100% | queue 5 | total 1000
[monitor   293ms] active 5/8 | cpu 100% | queue 5 | total 1000
[monitor   304ms] active 5/8 | cpu 100% | queue 5 | total 1000
[monitor   316ms] active 4/8 | cpu 90% | queue 6 | total 1000
[monitor   328ms] active 5/8 | cpu 100% | queue 4 | total 1000
[monitor   339ms] active 5/8 | cpu 100% | queue 5 | total 1000
[monitor   349ms] active 5/8 | cpu 100% | queue 6 | total 1000
[monitor   361ms] active 5/8 | cpu 100% | queue 6 | total 1000
[monitor   372ms] active 5/8 | cpu 100% | queue 7 | total 1000
[monitor   384ms] active 5/8 | cpu 100% | queue 7 | total 1000
[monitor   396ms] active 5/8 | cpu 100% | queue 8 | total 1000
[monitor   408ms] active 5/8 | cpu 100% | queue 8 | total 1000
[monitor   419ms] active 5/8 | cpu 100% | queue 9 | total 1000
[monitor   431ms] active 5/8 | cpu 100% | queue 10 | total 1000
[monitor   442ms] active 5/8 | cpu 100% | queue 10 | total 1000
[monitor   453ms] active 7/8 | cpu 95% | queue 8 | total 1000
[monitor   464ms] active 7/8 | cpu 95% | queue 8 | total 1000
[monitor   499ms] active 7/8 | cpu 95% | queue 8 | total 1000
[monitor   510ms] active 7/8 | cpu 95% | queue 8 | total 1000
[monitor   521ms] active 7/8 | cpu 95% | queue 9 | total 1000
[monitor   533ms] active 8/8 | cpu 80% | queue 7 | total 1000
[monitor   544ms] active 8/8 | cpu 80% | queue 7 | total 1000
[monitor   555ms] active 8/8 | cpu 80% | queue 8 | total 1000
[monitor   566ms] active 8/8 | cpu 80% | queue 8 | total 1000
[monitor   578ms] active 8/8 | cpu 80% | queue 9 | total 1000
[monitor   589ms] active 8/8 | cpu 80% | queue 9 | total 1000
[monitor   600ms] active 8/8 | cpu 80% | queue 10 | total 1000
[monitor   610ms] active 8/8 | cpu 80% | queue 10 | total 1000
[monitor   650ms] active 7/8 | cpu 95% | queue 10 | total 1000
[monitor   661ms] active 7/8 | cpu 95% | queue 11 | total 1000
[monitor   672ms] active 7/8 | cpu 95% | queue 10 | total 1000
[monitor   683ms] active 7/8 | cpu 95% | queue 11 | total 1000
[monitor   695ms] active 7/8 | cpu 95% | queue 11 | total 1000
[monitor   707ms] active 7/8 | cpu 95% | queue 11 | total 1000
[monitor   718ms] active 7/8 | cpu 95% | queue 12 | total 1000
[monitor   729ms] active 6/8 | cpu 85% | queue 10 | total 1000
[monitor   746ms] active 6/8 | cpu 85% | queue 11 | total 1000
[monitor   761ms] active 6/8 | cpu 85% | queue 12 | total 1000
[monitor   786ms] active 6/8 | cpu 85% | queue 13 | total 1000
[monitor   797ms] active 6/8 | cpu 85% | queue 14 | total 1000
[monitor   809ms] active 6/8 | cpu 85% | queue 14 | total 1000
[monitor   820ms] active 6/8 | cpu 85% | queue 15 | total 1000
[monitor   831ms] active 6/8 | cpu 85% | queue 15 | total 1000
[monitor   843ms] active 6/8 | cpu 85% | queue 16 | total 1000
[monitor   854ms] active 7/8 | cpu 95% | queue 13 | total 1000
[monitor   866ms] active 7/8 | cpu 95% | queue 14 | total 1000
[monitor   877ms] active 7/8 | cpu 95% | queue 13 | total 1000
[monitor   889ms] active 7/8 | cpu 95% | queue 13 | total 1000
[monitor   900ms] active 7/8 | cpu 95% | queue 14 | total 1000
[monitor   911ms] active 7/8 | cpu 95% | queue 14 | total 1000
[monitor   922ms] active 7/8 | cpu 95% | queue 15 | total 1000
[monitor   933ms] active 5/8 | cpu 75% | queue 15 | total 1000
[monitor   944ms] active 5/8 | cpu 75% | queue 16 | total 1000
[monitor   955ms] active 5/8 | cpu 75% | queue 16 | total 1000
[monitor   966ms] active 5/8 | cpu 75% | queue 17 | total 1000
[monitor   976ms] active 5/8 | cpu 75% | queue 17 | total 1000
[monitor  1009ms] active 5/8 | cpu 75% | queue 19 | total 1000
[monitor  1020ms] active 5/8 | cpu 75% | queue 20 | total 1000
[monitor  1031ms] active 5/8 | cpu 75% | queue 20 | total 1000
